id;uuid;first_name;last_name;username;email;password;phone;activated;authority_name;organization_id;post;birthday;activity_zone;activity_service;type_contract;created_by;last_modified_by;manager_id;activation_key
11;b118f07d-78af-49da-971a-7b907d10a322;Adriaens;Toghill;commercial11@local.host;commercial11@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;18 25 10 23 93;false;ROLE_COMMERCIAL;1;Occupational Therapist;1972-04-03;Nord;Service C;CDI;system;system;4;NULL
12;2a310a7f-cccf-4817-838d-9b564109a1da;Mack;Spinas;commercial12@local.host;commercial12@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;96 61 59 95 49;true;ROLE_COMMERCIAL;1;Senior Developer;1918-08-25;Sud;Service A;null;system;system;4;NULL
13;321de241-d3e3-49d8-8b9f-f966ab76f221;Kilian;Yurenev;commercial13@local.host;commercial13@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;85 34 01 19 59;true;ROLE_COMMERCIAL;1;Web Developer III;1933-10-22;Est;Service D;PROFESSIONNALISATION;system;system;4;NULL
14;d2022edc-4863-4b4a-a183-e83135a570fe;Darice;Quinlan;commercial14@local.host;commercial14@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;75 07 25 15 88;true;ROLE_COMMERCIAL;1;Speech Pathologist;1982-03-03;;Service D;APPRENTISSAGE;system;system;4;NULL
15;0d761d81-585e-43f7-ae32-fee6b1b5607e;Eduard;Flacknoe;commercial15@local.host;commercial15@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;45 22 99 85 52;true;ROLE_COMMERCIAL;2;Cost Accountant;1920-09-23;Ouest;Service D;CDI;system;system;4;NULL
16;051edc3a-488e-48df-a8d8-67c4f061e06c;Duky;Peete;commercial16@local.host;commercial16@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;38 35 76 23 91;true;ROLE_COMMERCIAL;1;Marketing Manager;1992-09-08;Ouest;Service A;CDI;system;system;4;NULL
17;caddb85c-9580-4385-80f3-2c157a15db11;Hadleigh;Harker;commercial17@local.host;commercial17@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;67 57 22 12 27;true;ROLE_COMMERCIAL;1;Sales Associate;1987-08-14;Nord;Service B;CDI;system;system;4;NULL
18;f1ca2cce-1e92-4315-9615-b4261ac33ee8;Hazel;Pedri;commercial18@local.host;commercial18@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;25 03 25 45 81;true;ROLE_COMMERCIAL;1;;1978-09-15;Ouest;Service C;INTERMITTENT;system;system;4;NULL
19;56ff9f87-a6e9-4a0d-bbe6-53ba1bded741;Jacky;Ridsdale;commercial19@local.host;commercial19@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;00 55 03 98 21;true;ROLE_COMMERCIAL;1;Account Coordinator;1986-11-22;Nord;Service D;INTERIM;system;system;4;NULL
20;b1c01a15-d9ad-437d-b886-6bca3197b94e;Doti;Shillum;commercial20@local.host;commercial20@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;40 04 98 80 03;true;ROLE_COMMERCIAL;1;Sales Representative;;Nord;Service A;CDI;system;system;5;NULL
21;003e7000-073c-4c2a-8c53-fad1681fce82;Susan;Keeting;commercial21@local.host;commercial21@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;83 73 47 46 39;true;ROLE_COMMERCIAL;1;;1925-03-23;Sud;Service B;INTERIM;system;system;5;NULL
22;a2759014-ab15-43d0-9e31-43ff63c75949;Lotta;Westhead;commercial22@local.host;commercial22@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;98 90 42 00 88;true;ROLE_COMMERCIAL;1;Media Manager II;1966-05-02;Nord;Service D;CDI;system;system;5;NULL
23;4312b659-54ad-4418-9894-4a5048b0c256;Harmon;Cornu;commercial23@local.host;commercial23@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;70 43 64 30 53;true;ROLE_COMMERCIAL;1;Information Systems Manager;1993-08-02;Est;Service C;PROFESSIONNALISATION;system;system;5;NULL
24;4c244c43-80dd-4c92-b63f-14a251ec4eaf;Andy;Collingdon;commercial24@local.host;commercial24@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;40 70 75 44 84;true;ROLE_COMMERCIAL;1;Office Assistant IV;;Ouest;;CDI;system;system;5;NULL
25;36e02a0f-c7ca-4fb9-99c7-372f044c7b41;Cosmo;Blesing;commercial25@local.host;commercial25@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;89 40 32 32 99;true;ROLE_COMMERCIAL;1;Senior Developer;1916-05-18;Nord;Service D;CHANTIER;system;system;5;NULL
26;48ff90dc-6c5e-4101-8aeb-76d09c727df6;Flory;Blackledge;commercial26@local.host;commercial26@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;76 37 82 59 91;true;ROLE_COMMERCIAL;1;;1987-10-07;;Service C;null;system;system;6;NULL
27;6faeab55-c5cb-4611-8315-e4cdce2831db;Star;Saich;commercial27@local.host;commercial27@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;39 47 48 08 55;true;ROLE_COMMERCIAL;1;GIS Technical Architect;1964-12-23;Ouest;;APPRENTISSAGE;system;system;6;NULL
28;f8af9c07-f733-4f25-aa52-f4b9a1be48c3;Parke;Kleynermans;commercial28@local.host;commercial28@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;68 00 61 47 12;true;ROLE_COMMERCIAL;2;Physical Therapy Assistant;1995-10-06;Nord;Service A;CDI;system;system;6;NULL
29;851fced2-b8f7-4c14-8ead-5769d2539140;Briant;Blastock;commercial29@local.host;commercial29@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;77 57 07 92 02;true;ROLE_COMMERCIAL;1;Software Consultant;1948-07-14;Sud;Service A;CDI;system;system;6;NULL
30;5a1121d8-f342-45e5-81a8-656d26f74f90;Norrie;Croneen;commercial30@local.host;commercial30@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;42 63 34 11 46;true;ROLE_COMMERCIAL;1;;1912-09-16;;Service B;INTERMITTENT;system;system;6;NULL
31;0246f49d-3b40-4d59-b661-782f7ccbf69e;Nancey;O'Bradain;commercial31@local.host;commercial31@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;30 01 14 64 08;true;ROLE_COMMERCIAL;1;Web Designer III;1925-04-11;Nord;;TEMPS_PARTIEL;system;system;6;NULL
32;d04d4a2c-4504-4b1c-80cc-86779c31bc0f;Viviene;Ridgedell;commercial32@local.host;commercial32@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;44 18 25 99 86;true;ROLE_COMMERCIAL;1;Environmental Specialist;1962-06-25;Sud;Service A;CDI;system;system;7;NULL
33;2521d5b6-de0b-4edd-86e0-13b66a4591a3;Amanda;Adicot;commercial33@local.host;commercial33@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;15 82 29 71 30;true;ROLE_COMMERCIAL;1;Occupational Therapist;1962-11-04;Sud;Service B;INTERIM;system;system;7;NULL
34;39307220-d98c-4d55-af26-ce7393fc5607;Peadar;McMinn;commercial34@local.host;commercial34@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;88 62 37 70 07;false;ROLE_COMMERCIAL;1;Data Coordinator;1940-11-12;Ouest;Service A;TEMPS_PARTIEL;system;system;7;NULL
35;9752bbe9-6c95-44a8-9dfd-71fd39de854d;Alameda;Furney;commercial35@local.host;commercial35@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;43 56 54 61 92;true;ROLE_COMMERCIAL;1;Help Desk Technician;1957-10-26;Nord;Service D;PARTAGE;system;system;7;NULL
36;0c16c746-62fb-41e5-8f08-afe6dadb3bea;Robbert;Harrill;commercial36@local.host;commercial36@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;99 82 30 66 22;true;ROLE_COMMERCIAL;1;Account Executive;1966-05-02;Est;Service A;CDI;system;system;7;NULL
37;18113235-41ca-4b4e-99af-ace40eac3cb4;Olly;Tesauro;commercial37@local.host;commercial37@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;42 12 69 57 47;true;ROLE_COMMERCIAL;1;Safety Technician III;1911-09-07;Ouest;Service A;CDI;system;system;7;NULL
38;73ba27c4-0762-4484-a69f-02ab4096286c;Bryana;Kennet;commercial38@local.host;commercial38@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;31 21 11 09 16;true;ROLE_COMMERCIAL;1;Budget/Accounting Analyst II;1985-04-23;Est;Service C;CDI;system;system;7;NULL
39;34964178-6036-4359-985f-5256b142f616;Alessandra;Glazyer;commercial39@local.host;commercial39@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;57 85 07 06 02;true;ROLE_COMMERCIAL;1;Biostatistician IV;1941-11-27;Est;Service C;null;system;system;4;NULL
40;e8d07181-07df-40a1-bebd-95fcea4d2f3b;Francis;Doig;commercial40@local.host;commercial40@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;58 28 93 24 56;true;ROLE_COMMERCIAL;2;VP Marketing;1969-04-18;;Service A;INTERIM;system;system;4;NULL
41;a36a030e-3485-4ac0-8ae1-34d0ea81fea1;Wandis;Albrecht;commercial41@local.host;commercial41@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;42 10 02 92 76;true;ROLE_COMMERCIAL;1;Research Assistant I;1975-01-19;Nord;Service A;CDI;system;system;4;NULL
42;922f8dd2-ccb8-484c-b798-28aa00e9c37e;Ricard;Duncklee;commercial42@local.host;commercial42@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;11 72 15 21 04;true;ROLE_COMMERCIAL;1;Environmental Specialist;1953-11-08;Est;Service D;null;system;system;4;NULL
43;3b8abf2f-f43b-4322-a38e-d08570b6cac2;Willabella;Goring;commercial43@local.host;commercial43@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;64 97 57 74 96;true;ROLE_COMMERCIAL;1;Desktop Support Technician;1962-01-17;Sud;Service B;APPRENTISSAGE;system;system;5;NULL
44;d0a5c0cf-bb22-4845-bae9-43d8843de8a1;Drusie;O'Keaveny;commercial44@local.host;commercial44@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;67 98 56 47 27;true;ROLE_COMMERCIAL;1;Teacher;1914-08-22;Est;Service C;ANNUALISE;system;system;5;NULL
45;9d56e4b9-c369-413d-aad2-2aa810457d59;Worthy;Whapples;commercial45@local.host;commercial45@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;65 10 00 11 03;true;ROLE_COMMERCIAL;1;Statistician I;1924-08-18;Nord;Service C;CDI;system;system;6;NULL
46;301ab782-859c-4d74-bd4a-2eda35a92c79;Lee;Sherrington;commercial46@local.host;commercial46@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;57 69 87 99 22;true;ROLE_COMMERCIAL;2;Statistician IV;1929-11-14;Est;Service C;INTERMITTENT;system;system;7;NULL
47;30f7041b-992f-49b3-b4cd-d54d148c422a;Harrietta;Mattiazzo;commercial47@local.host;commercial47@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;44 64 67 91 40;true;ROLE_COMMERCIAL;2;Financial Analyst;1954-06-20;Nord;Service C;CDI;system;system;7;NULL
48;79170a7d-f443-4d49-884e-f0a21298038b;Bryce;Harflete;commercial48@local.host;commercial48@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;86 55 11 21 22;false;ROLE_COMMERCIAL;1;Operator;1988-05-23;Nord;;CDI;system;system;5;NULL
49;920e3792-2b8f-4436-a53d-d3b2fe6f8307;Georgia;McKenney;commercial49@local.host;commercial49@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;14 80 88 58 54;true;ROLE_COMMERCIAL;1;Cost Accountant;1961-11-25;Ouest;Service D;null;system;system;5;NULL
50;b653cd72-a368-45fa-8ce8-426586962426;Salome;Stickins;commercial50@local.host;commercial50@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;84 60 91 74 30;true;ROLE_COMMERCIAL;1;Compensation Analyst;1922-07-24;Est;;INTERIM;system;system;4;NULL
51;c9226b68-0e13-4a64-ad96-4017b002c877;Christabel;Blees;commercial51@local.host;commercial51@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;40 52 51 19 60;true;ROLE_COMMERCIAL;1;Software Engineer III;1982-02-27;;Service B;INTERMITTENT;system;system;6;NULL
52;7cf3a8fe-4fdc-49a7-9afd-784eb5ab85ac;Emmie;Pesterfield;commercial52@local.host;commercial52@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;80 00 92 35 99;true;ROLE_COMMERCIAL;1;Dental Hygienist;1965-05-04;Ouest;Service D;INTERMITTENT;system;system;6;NULL
53;03773979-667c-4c23-8bc6-6761cf25f242;Dani;Virgo;commercial53@local.host;commercial53@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;94 28 21 54 26;true;ROLE_COMMERCIAL;1;Electrical Engineer;1970-06-28;Nord;Service D;CHANTIER;system;system;4;NULL
54;20bbf104-ab78-4921-beeb-515b7a349ebc;Waring;Cavil;commercial54@local.host;commercial54@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;16 17 11 50 10;true;ROLE_COMMERCIAL;1;Analog Circuit Design manager;1934-12-18;Sud;Service B;CDI;system;system;4;NULL
55;03a46b9e-2b07-4cbd-8b74-00a8c7d2d11d;Gretna;Gwinnel;commercial55@local.host;commercial55@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;11 01 32 41 74;false;ROLE_COMMERCIAL;1;Social Worker;1990-09-23;Nord;Service D;APPRENTISSAGE;system;system;4;NULL
56;7a38cfd5-eb82-402f-bd8d-b26f73b05cc2;Pinchas;Coltart;commercial56@local.host;commercial56@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;58 64 73 32 32;true;ROLE_COMMERCIAL;1;Physical Therapy Assistant;1986-03-20;Sud;Service A;CDI;system;system;4;NULL
57;e8ddae37-f906-4f59-a041-c073b068c1fa;Henrie;Dudek;commercial57@local.host;commercial57@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;44 68 03 85 85;true;ROLE_COMMERCIAL;1;Senior Editor;1942-06-28;Nord;Service C;CHANTIER;system;system;4;NULL
58;91612a12-1ead-485a-b358-a4ac5b2a5e79;Husain;Rebichon;commercial58@local.host;commercial58@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;69 45 71 24 52;true;ROLE_COMMERCIAL;1;Community Outreach Specialist;1903-07-31;Nord;Service D;APPRENTISSAGE;system;system;4;NULL
59;7f20f9ec-541e-4b94-ab78-21339021ec52;Morten;Carvilla;commercial59@local.host;commercial59@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;66 75 01 77 10;true;ROLE_COMMERCIAL;1;Senior Quality Engineer;1939-09-17;Ouest;Service A;ANNUALISE;system;system;4;NULL
60;d0aed9be-4d04-4157-9a65-fe37481692c7;Norah;Gosenell;commercial60@local.host;commercial60@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;20 08 31 49 96;true;ROLE_COMMERCIAL;1;Food Chemist;1946-11-22;Ouest;Service B;INTERMITTENT;system;system;4;NULL
61;0d970ed8-3068-497c-9ebb-d741e6dd1465;Benson;Fumagalli;commercial61@local.host;commercial61@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;13 97 32 12 89;true;ROLE_COMMERCIAL;1;Safety Technician I;1920-08-24;Nord;Service B;ANNUALISE;system;system;4;NULL
62;4bbdc239-5944-4843-b4c0-036908166372;Joellen;Woolhouse;commercial62@local.host;commercial62@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;99 80 61 49 04;true;ROLE_COMMERCIAL;2;Help Desk Technician;1981-02-26;Nord;Service D;CDI;system;system;4;NULL
63;027193a4-3489-45e3-87ac-0e32489917ba;Madelina;Moult;commercial63@local.host;commercial63@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;49 40 41 15 41;true;ROLE_COMMERCIAL;1;Biostatistician IV;1952-08-13;Ouest;Service B;TEMPS_PARTIEL;system;system;4;NULL
64;d520efa3-add1-4ebf-a0be-911b3ad5bd17;Lanita;Caldaro;commercial64@local.host;commercial64@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;28 27 61 53 13;true;ROLE_COMMERCIAL;1;;1967-10-09;Est;Service C;CDD;system;system;4;NULL
65;a90015b0-2b41-4ff1-9af8-24b4ebcf7274;Marius;Toderi;commercial65@local.host;commercial65@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;52 30 50 86 54;true;ROLE_COMMERCIAL;1;VP Accounting;1991-11-20;Ouest;Service B;INTERIM;system;system;4;NULL
66;3d0e8d7e-94a6-4040-87d7-826e30ad0fa4;Demetria;Walczynski;commercial66@local.host;commercial66@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;11 45 73 58 91;true;ROLE_COMMERCIAL;1;Staff Accountant I;1984-07-11;;Service A;CDI;system;system;4;NULL
67;a0e85bab-894b-4ded-b334-bfff5d07cc7b;Georgette;Ilyenko;commercial67@local.host;commercial67@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;31 84 14 27 51;true;ROLE_COMMERCIAL;1;Financial Advisor;1919-12-14;Ouest;Service A;INTERMITTENT;system;system;4;NULL
68;4da0e8c6-333f-4104-86ab-0243d3dbbfba;Aline;Dockreay;commercial68@local.host;commercial68@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;45 52 06 28 97;false;ROLE_COMMERCIAL;1;;1917-05-18;Sud;Service D;PROFESSIONNALISATION;system;system;4;NULL
69;9fda6fbd-166f-427e-bb65-d8035ff7a48a;Nert;Jewel;commercial69@local.host;commercial69@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;06 34 12 32 41;true;ROLE_COMMERCIAL;1;Librarian;1954-11-10;Sud;Service D;APPRENTISSAGE;system;system;4;NULL
70;404d2114-1b17-4589-b78e-0dee80635734;Adrian;Mattheus;commercial70@local.host;commercial70@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;55 61 32 79 61;true;ROLE_COMMERCIAL;1;Paralegal;1908-03-10;Nord;Service D;CDI;system;system;4;NULL
71;3571cf5f-b687-471d-9cf6-64af556fa218;Chance;Fiddiman;commercial71@local.host;commercial71@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;53 38 38 49 58;true;ROLE_COMMERCIAL;1;Software Test Engineer II;1908-04-15;Est;Service B;CDI;system;system;4;NULL
72;094b9774-8111-4f29-9152-795cd90bf840;Aime;Folger;commercial72@local.host;commercial72@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;23 44 56 29 71;true;ROLE_COMMERCIAL;1;Statistician III;1965-01-10;Nord;Service D;APPRENTISSAGE;system;system;4;NULL
73;72049653-cce5-48a3-b796-dafa1f77605b;Alice;Blowing;commercial73@local.host;commercial73@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;84 71 56 34 76;true;ROLE_COMMERCIAL;1;Occupational Therapist;;Sud;Service B;CDI;system;system;4;NULL
74;9518b368-5881-4eff-abce-687d1f247bdb;Gunther;Jendrassik;commercial74@local.host;commercial74@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;40 57 15 13 24;true;ROLE_COMMERCIAL;2;Automation Specialist I;1947-03-25;Nord;Service A;CDI;system;system;4;NULL
75;672bd56f-7b0a-4994-b235-a356cb0f5405;Quintina;O'Sculley;commercial75@local.host;commercial75@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;93 70 13 66 19;true;ROLE_COMMERCIAL;1;Automation Specialist III;1921-04-15;Est;Service B;CDD;system;system;4;NULL
76;b8ebd715-05ff-430d-9e01-c1ddd00832ad;Benn;Joscelyne;commercial76@local.host;commercial76@local.host;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;05 18 29 77 62;true;ROLE_COMMERCIAL;1;Accounting Assistant II;;Sud;Service C;PROFESSIONNALISATION;system;system;4;NULL
